Séquentiel	SID	Heure de soumission	Heure de complétion	Heure de modification	Brouillon	Adresse IP	UID	Nom d'utilisateur	URL	Description	Nom ou pseudo	Vous retrouver 
2	11585252	29/03/2022 - 11:43	29/03/2022 - 11:43	29/03/2022 - 11:43	0	0.0.0.0	0	Anonymous	http://annesavelli.fr/	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
3	11585281	29/03/2022 - 11:45	29/03/2022 - 11:45	29/03/2022 - 11:45	0	0.0.0.0	0	Anonymous	http://christiane-ranieri.fr/	Pour trouver ce site dédié aux haïku, j'ai été piocher sur la plateforme weblitt https://weblitt.msh-lse.fr	weblitt	
								Anonymous	http://abadon.fr/	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
								Anonymous	https://www.bonjourpoesie.fr/vospoemes/Poemes/said_nouahad/le_depart	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
								Anonymous	http://welovewords.com/documents/si-loin-de-toi	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
								Anonymous	https://www.atelierdebricolage.net/	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
								Anonymous	https://soundcloud.com/patricia-houefa-grange	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
								Anonymous	https://simplicitehaiku.blogspot.com/	Pour trouver cette oeuvre, j'ai été piocher dans la plateforme https://weblitt.msh-lse.fr	weblitt	
								Anonymous	http://sergebouchardon.com/	Cette œuvre est issue de la plateforme Weblitt (https://weblitt.msh-lse.fr)	weblitt	
								Anonymous	http://lichen-poesie.blogspot.com/p/adlyne-bonhomme.html	Cette œuvre est issue de la plateforme Weblitt (https://weblitt.msh-lse.fr)	weblitt	
